FLG,日付,TM,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,計,安,失
巨人/ＤｅＮＡ,04/06,ＤｅＮＡ,1,1,0,0,0,0,2,0,,,,,4,6,0,
広島/中日,04/06,広島,0,0,0,3,0,0,0,0,0,0,2,,5,9,0,
広島/中日,04/06,中日,0,0,0,0,0,0,1,0,2,0,0,,3,15,0,
日本ハム/ロッテ,04/06,日本ハム,0,0,1,0,0,0,0,0,0,,,,1,5,0,
日本ハム/ロッテ,04/06,ロッテ,0,1,0,1,0,3,0,0,,,,,5,10,0,
ＤｅＮＡ/中日,04/07,ＤｅＮＡ,0,1,1,1,2,0,0,0,0,,,,5,11,0,
ＤｅＮＡ/中日,04/07,中日,0,0,4,0,0,0,3,0,,,,,7,9,2,
ソフトバンク/西武,04/07,ソフトバンク,0,3,0,0,0,1,0,0,0,,,,4,7,0,
ソフトバンク/西武,04/07,西武,0,0,0,1,1,0,0,0,0,,,,2,9,1,
ヤクルト/広島,04/07,ヤクルト,0,0,0,0,0,0,0,0,1,,,,1,3,0,
ヤクルト/広島,04/07,広島,1,0,2,0,0,0,0,1,,,,,4,8,0,
巨人/阪神,04/07,巨人,3,1,0,0,0,0,1,0,0,,,,5,10,0,
巨人/阪神,04/07,阪神,0,0,0,0,1,2,0,0,0,,,,3,10,1,
日本ハム/オリックス,04/07,日本ハム,0,0,0,0,0,2,0,0,0,,,,2,7,1,
日本ハム/オリックス,04/07,オリックス,0,1,3,0,0,0,0,0,,,,,4,4,1,
ＤｅＮＡ/中日,04/08,ＤｅＮＡ,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,
ＤｅＮＡ/中日,04/08,中日,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,
ソフトバンク/西武,04/08,ソフトバンク,0,0,0,0,1,0,0,0,0,,,,1,7,0,
ソフトバンク/西武,04/08,西武,3,0,2,0,0,0,0,1,,,,,6,9,0,
ヤクルト/広島,04/08,ヤクルト,0,0,0,0,0,0,0,0,1,,,,1,7,0,
ヤクルト/広島,04/08,広島,0,2,0,0,0,0,0,0,,,,,2,6,0,
楽天/ロッテ,04/08,楽天,1,0,1,0,0,3,2,0,0,,,,7,10,0,
楽天/ロッテ,04/08,ロッテ,0,0,2,0,0,0,0,2,0,,,,4,6,0,
日本ハム/オリックス,04/08,日本ハム,0,0,0,0,0,0,0,0,1,,,,1,6,0,
日本ハム/オリックス,04/08,オリックス,3,1,0,2,0,0,2,0,,,,,8,12,1,
ＤｅＮＡ/中日,04/09,ＤｅＮＡ,0,0,0,0,0,2,0,0,0,,,,2,7,1,
ＤｅＮＡ/中日,04/09,中日,0,1,0,0,0,0,0,0,0,,,,1,8,0,
ソフトバンク/西武,04/09,ソフトバンク,0,0,0,0,0,0,1,0,1,,,,2,8,1,
ソフトバンク/西武,04/09,西武,1,1,0,0,0,2,0,0,,,,,4,8,0,
ヤクルト/広島,04/09,ヤクルト,0,0,0,0,0,0,2,0,0,,,,2,8,2,
