日付,球場,自TM,打者,席,結果,相手TM,投手,腕
3/31,マツダスタジアム,C,田中広輔,左,一ゴロ,T,メッセンジャー,右
3/31,マツダスタジアム,C,菊池涼介,右,遊安,T,メッセンジャー,右
3/31,マツダスタジアム,C,丸佳浩,左,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,新井貴浩,右,左飛,T,メッセンジャー,右
3/31,マツダスタジアム,C,松山竜平,左,四球,T,メッセンジャー,右
3/31,マツダスタジアム,C,鈴木誠也,右,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,安部友裕,左,二ゴロ,T,メッセンジャー,右
3/31,マツダスタジアム,C,石原慶幸,右,右安,T,メッセンジャー,右
3/31,マツダスタジアム,C,ジョンソン,左,右安,T,メッセンジャー,右
3/31,マツダスタジアム,C,田中広輔,左,捕邪飛,T,メッセンジャー,右
3/31,マツダスタジアム,C,菊池涼介,右,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,丸佳浩,左,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,新井貴浩,右,二ゴロ,T,メッセンジャー,右
3/31,マツダスタジアム,C,松山竜平,左,二飛,T,メッセンジャー,右
3/31,マツダスタジアム,C,鈴木誠也,右,一邪飛,T,メッセンジャー,右
3/31,マツダスタジアム,C,安部友裕,左,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,石原慶幸,右,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,會澤翼,右,左安,T,メッセンジャー,右
3/31,マツダスタジアム,C,田中広輔,左,四球,T,メッセンジャー,右
3/31,マツダスタジアム,C,菊池涼介,右,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,丸佳浩,左,四球,T,メッセンジャー,右
3/31,マツダスタジアム,C,新井貴浩,右,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,松山竜平,左,遊失,T,メッセンジャー,右
3/31,マツダスタジアム,C,鈴木誠也,右,右安,T,メッセンジャー,右
3/31,マツダスタジアム,C,安部友裕,左,右安,T,メッセンジャー,右
3/31,マツダスタジアム,C,エルドレッド,右,三安,T,メッセンジャー,右
3/31,マツダスタジアム,C,會澤翼,右,右飛,T,桑原謙太朗,右
3/31,マツダスタジアム,C,田中広輔,左,一失,T,桑原謙太朗,右
3/31,マツダスタジアム,C,菊池涼介,右,三飛,T,桑原謙太朗,右
3/31,マツダスタジアム,C,丸佳浩,左,一ゴロ,T,桑原謙太朗,右
3/31,マツダスタジアム,C,新井貴浩,右,左本(1),T,桑原謙太朗,右
3/31,マツダスタジアム,C,松山竜平,左,捕邪飛,T,髙橋聡文,左
3/31,マツダスタジアム,C,鈴木誠也,右,左２,T,髙橋聡文,左
3/31,マツダスタジアム,C,小窪哲也,右,一邪飛,T,髙橋聡文,左
3/31,マツダスタジアム,C,下水流昂,右,二ゴロ,T,髙橋聡文,左
3/31,マツダスタジアム,C,會澤翼,右,四球,T,マテオ,右
3/31,マツダスタジアム,C,田中広輔,左,二ゴロ,T,マテオ,右
3/31,マツダスタジアム,C,菊池涼介,右,三飛,T,マテオ,右
3/31,マツダスタジアム,C,丸佳浩,左,中安,T,マテオ,右
3/31,マツダスタジアム,C,新井貴浩,右,投失,T,マテオ,右
3/31,マツダスタジアム,C,松山竜平,左,遊ゴロ,T,マテオ,右
3/31,マツダスタジアム,C,鈴木誠也,右,左２,T,ドリス,右
3/31,マツダスタジアム,C,小窪哲也,右,三ゴロ,T,ドリス,右
3/31,マツダスタジアム,C,天谷宗一郎,左,空三振,T,ドリス,右
3/31,マツダスタジアム,C,會澤翼,右,三ゴロ,T,ドリス,右
4/1,マツダスタジアム,C,田中広輔,左,左安,T,岩貞祐太,左
4/1,マツダスタジアム,C,菊池涼介,右,四球,T,岩貞祐太,左
4/1,マツダスタジアム,C,丸佳浩,左,左本(3),T,岩貞祐太,左
4/1,マツダスタジアム,C,新井貴浩,右,右飛,T,岩貞祐太,左
4/1,マツダスタジアム,C,鈴木誠也,右,空三振,T,岩貞祐太,左
4/1,マツダスタジアム,C,エルドレッド,右,左２,T,岩貞祐太,左
4/1,マツダスタジアム,C,小窪哲也,右,四球,T,岩貞祐太,左
4/1,マツダスタジアム,C,石原慶幸,右,三ゴロ,T,岩貞祐太,左
4/1,マツダスタジアム,C,岡田明丈,左,見三振,T,岩貞祐太,左
4/1,マツダスタジアム,C,田中広輔,左,見三振,T,岩貞祐太,左
4/1,マツダスタジアム,C,菊池涼介,右,四球,T,岩貞祐太,左
4/1,マツダスタジアム,C,丸佳浩,左,右２,T,岩貞祐太,左
4/1,マツダスタジアム,C,新井貴浩,右,四球,T,岩貞祐太,左
4/1,マツダスタジアム,C,鈴木誠也,右,空三振,T,岩貞祐太,左
4/1,マツダスタジアム,C,エルドレッド,右,空三振,T,岩貞祐太,左
4/1,マツダスタジアム,C,小窪哲也,右,三ゴロ,T,岩貞祐太,左
4/1,マツダスタジアム,C,石原慶幸,右,二ゴロ,T,岩貞祐太,左
4/1,マツダスタジアム,C,堂林翔太,右,空三振,T,岩貞祐太,左
4/1,マツダスタジアム,C,田中広輔,左,一ゴロ,T,岩貞祐太,左
4/1,マツダスタジアム,C,菊池涼介,右,三ゴロ,T,岩貞祐太,左
4/1,マツダスタジアム,C,丸佳浩,左,四球,T,岩貞祐太,左
4/1,マツダスタジアム,C,新井貴浩,右,右飛,T,岩貞祐太,左
4/1,マツダスタジアム,C,鈴木誠也,右,左本(2),T,岩貞祐太,左
4/1,マツダスタジアム,C,エルドレッド,右,二ゴロ,T,岩貞祐太,左
4/1,マツダスタジアム,C,小窪哲也,右,二ゴロ,T,岩貞祐太,左
4/1,マツダスタジアム,C,安部友裕,左,四球,T,松田遼馬,右
4/1,マツダスタジアム,C,會澤翼,右,中安,T,松田遼馬,右
4/1,マツダスタジアム,C,田中広輔,左,二邪飛,T,髙橋聡文,左
4/1,マツダスタジアム,C,菊池涼介,右,中安,T,髙橋聡文,左
4/1,マツダスタジアム,C,丸佳浩,左,左犠飛,T,髙橋聡文,左
4/1,マツダスタジアム,C,新井貴浩,右,右飛,T,桑原謙太朗,右
4/1,マツダスタジアム,C,鈴木誠也,右,二飛,T,藤川球児,右
4/1,マツダスタジアム,C,エルドレッド,右,四球,T,藤川球児,右
4/1,マツダスタジアム,C,天谷宗一郎,左,右２,T,藤川球児,右
4/1,マツダスタジアム,C,安部友裕,左,四球,T,藤川球児,右
4/1,マツダスタジアム,C,會澤翼,右,四球,T,藤川球児,右
4/1,マツダスタジアム,C,田中広輔,左,一併打,T,藤川球児,右
4/1,マツダスタジアム,C,菊池涼介,右,左失,T,マテオ,右
4/1,マツダスタジアム,C,丸佳浩,左,犠打失,T,マテオ,右
4/1,マツダスタジアム,C,新井貴浩,右,遊ゴロ,T,マテオ,右
4/1,マツダスタジアム,C,鈴木誠也,右,捕邪飛,T,マテオ,右
4/1,マツダスタジアム,C,エルドレッド,右,四球,T,マテオ,右
4/1,マツダスタジアム,C,松山竜平,左,二ゴロ,T,マテオ,右
4/1,マツダスタジアム,C,安部友裕,左,四球,T,マテオ,右
4/1,マツダスタジアム,C,會澤翼,右,投犠打,T,マテオ,右
4/1,マツダスタジアム,C,田中広輔,左,四球,T,マテオ,右
4/1,マツダスタジアム,C,菊池涼介,右,空三振,T,マテオ,右
4/1,マツダスタジアム,C,丸佳浩,左,四球,T,マテオ,右
4/1,マツダスタジアム,C,新井貴浩,右,二ゴロ,T,マテオ,右
4/1,マツダスタジアム,C,鈴木誠也,右,二ゴロ,T,ドリス,右
4/1,マツダスタジアム,C,エルドレッド,右,左安,T,ドリス,右
4/1,マツダスタジアム,C,下水流昂,右,遊失,T,ドリス,右
4/1,マツダスタジアム,C,安部友裕,左,二安,T,ドリス,右
4/2,マツダスタジアム,C,田中広輔,左,左安,T,能見篤史,左
4/2,マツダスタジアム,C,菊池涼介,右,左２,T,能見篤史,左
4/2,マツダスタジアム,C,丸佳浩,左,右安,T,能見篤史,左
4/2,マツダスタジアム,C,新井貴浩,右,四球,T,能見篤史,左
4/2,マツダスタジアム,C,鈴木誠也,右,見三振,T,能見篤史,左
4/2,マツダスタジアム,C,エルドレッド,右,遊併打,T,能見篤史,左
4/2,マツダスタジアム,C,小窪哲也,右,中飛,T,能見篤史,左
4/2,マツダスタジアム,C,會澤翼,右,遊ゴロ,T,能見篤史,左
4/2,マツダスタジアム,C,九里亜蓮,右,見三振,T,能見篤史,左
4/2,マツダスタジアム,C,田中広輔,左,左安,T,能見篤史,左
4/2,マツダスタジアム,C,菊池涼介,右,二ゴロ,T,能見篤史,左
4/2,マツダスタジアム,C,丸佳浩,左,右安,T,能見篤史,左
4/2,マツダスタジアム,C,新井貴浩,右,中２,T,能見篤史,左
4/2,マツダスタジアム,C,鈴木誠也,右,右飛,T,能見篤史,左
4/2,マツダスタジアム,C,エルドレッド,右,四球,T,能見篤史,左
4/2,マツダスタジアム,C,小窪哲也,右,三ゴロ,T,能見篤史,左
4/2,マツダスタジアム,C,會澤翼,右,三ゴロ,T,能見篤史,左
4/2,マツダスタジアム,C,九里亜蓮,右,一安,T,能見篤史,左
4/2,マツダスタジアム,C,田中広輔,左,中安,T,能見篤史,左
4/2,マツダスタジアム,C,菊池涼介,右,左安,T,松田遼馬,右
4/2,マツダスタジアム,C,丸佳浩,左,遊飛,T,松田遼馬,右
4/2,マツダスタジアム,C,新井貴浩,右,遊ゴロ,T,松田遼馬,右
4/2,マツダスタジアム,C,鈴木誠也,右,右飛,T,松田遼馬,右
4/2,マツダスタジアム,C,エルドレッド,右,左２,T,松田遼馬,右
4/2,マツダスタジアム,C,小窪哲也,右,右飛,T,松田遼馬,右
4/2,マツダスタジアム,C,會澤翼,右,三ゴロ,T,松田遼馬,右
4/2,マツダスタジアム,C,安部友裕,左,三邪飛,T,松田遼馬,右
4/2,マツダスタジアム,C,田中広輔,左,右安,T,松田遼馬,右
4/2,マツダスタジアム,C,菊池涼介,右,中飛,T,松田遼馬,右
4/2,マツダスタジアム,C,丸佳浩,左,左２,T,岩崎優,左
4/2,マツダスタジアム,C,新井貴浩,右,死球,T,岩崎優,左
4/2,マツダスタジアム,C,鈴木誠也,右,左安,T,岩崎優,左
4/2,マツダスタジアム,C,エルドレッド,右,四球,T,岩崎優,左
4/2,マツダスタジアム,C,小窪哲也,右,空三振,T,岩崎優,左
4/2,マツダスタジアム,C,會澤翼,右,犠飛失,T,岩崎優,左
4/2,マツダスタジアム,C,堂林翔太,右,左安,T,岩崎優,左
4/2,マツダスタジアム,C,田中広輔,左,投ゴロ,T,岩崎優,左
4/2,マツダスタジアム,C,菊池涼介,右,一邪飛,T,岩崎優,左
4/2,マツダスタジアム,C,丸佳浩,左,右安,T,岩崎優,左
4/2,マツダスタジアム,C,天谷宗一郎,左,一ゴロ,T,岩崎優,左
4/2,マツダスタジアム,C,鈴木誠也,右,四球,T,岩崎優,左
4/2,マツダスタジアム,C,下水流昂,右,遊ゴロ,T,岩崎優,左
4/2,マツダスタジアム,C,小窪哲也,右,右飛,T,岩崎優,左
4/4,ナゴヤドーム,C,田中広輔,左,左安,D,若松駿太,右
4/4,ナゴヤドーム,C,菊池涼介,右,見三振,D,若松駿太,右
4/4,ナゴヤドーム,C,丸佳浩,左,空三振,D,若松駿太,右
4/4,ナゴヤドーム,C,新井貴浩,右,左２,D,若松駿太,右
4/4,ナゴヤドーム,C,鈴木誠也,右,左飛,D,若松駿太,右
4/4,ナゴヤドーム,C,エルドレッド,右,左本(2),D,若松駿太,右
4/4,ナゴヤドーム,C,安部友裕,左,左安,D,若松駿太,右
4/4,ナゴヤドーム,C,石原慶幸,右,右飛,D,若松駿太,右
4/4,ナゴヤドーム,C,野村祐輔,右,左安,D,若松駿太,右
4/4,ナゴヤドーム,C,田中広輔,左,左安,D,若松駿太,右
4/4,ナゴヤドーム,C,菊池涼介,右,空三振,D,若松駿太,右
4/4,ナゴヤドーム,C,丸佳浩,左,中安,D,若松駿太,右
4/4,ナゴヤドーム,C,新井貴浩,右,四球,D,若松駿太,右
4/4,ナゴヤドーム,C,鈴木誠也,右,遊飛,D,若松駿太,右
4/4,ナゴヤドーム,C,エルドレッド,右,一飛,D,若松駿太,右
4/4,ナゴヤドーム,C,安部友裕,左,空三振,D,若松駿太,右
4/4,ナゴヤドーム,C,石原慶幸,右,三ゴロ,D,三ツ間卓也,右
4/4,ナゴヤドーム,C,野村祐輔,右,空三振,D,三ツ間卓也,右
4/4,ナゴヤドーム,C,田中広輔,左,四球,D,三ツ間卓也,右
4/4,ナゴヤドーム,C,菊池涼介,右,二ゴロ,D,三ツ間卓也,右
4/4,ナゴヤドーム,C,丸佳浩,左,左飛,D,三ツ間卓也,右
4/4,ナゴヤドーム,C,新井貴浩,右,遊飛,D,三ツ間卓也,右
4/4,ナゴヤドーム,C,鈴木誠也,右,空三振,D,三ツ間卓也,右
4/4,ナゴヤドーム,C,エルドレッド,右,見三振,D,浅尾拓也,右
4/4,ナゴヤドーム,C,安部友裕,左,中飛,D,浅尾拓也,右
4/4,ナゴヤドーム,C,石原慶幸,右,中２,D,浅尾拓也,右
4/4,ナゴヤドーム,C,野村祐輔,右,左安,D,浅尾拓也,右
4/4,ナゴヤドーム,C,田中広輔,左,四球,D,浅尾拓也,右
4/4,ナゴヤドーム,C,菊池涼介,右,左２,D,浅尾拓也,右
4/4,ナゴヤドーム,C,丸佳浩,左,四球,D,浅尾拓也,右
4/4,ナゴヤドーム,C,新井貴浩,右,中安,D,浅尾拓也,右
4/4,ナゴヤドーム,C,鈴木誠也,右,一飛,D,ジョーダン,左
4/4,ナゴヤドーム,C,エルドレッド,右,三ゴロ,D,ジョーダン,左
4/4,ナゴヤドーム,C,安部友裕,左,遊ゴロ,D,ジョーダン,左
4/4,ナゴヤドーム,C,石原慶幸,右,空三振,D,ジョーダン,左
4/4,ナゴヤドーム,C,下水流昂,右,左飛,D,ジョーダン,左
4/4,ナゴヤドーム,C,田中広輔,左,三ゴロ,D,ジョーダン,左
4/4,ナゴヤドーム,C,菊池涼介,右,中飛,D,岡田俊哉,左
4/4,ナゴヤドーム,C,丸佳浩,左,二ゴロ,D,岡田俊哉,左
4/4,ナゴヤドーム,C,新井貴浩,右,四球,D,岡田俊哉,左
4/4,ナゴヤドーム,C,鈴木誠也,右,左２,D,岡田俊哉,左
4/4,ナゴヤドーム,C,天谷宗一郎,左,二ゴロ,D,岡田俊哉,左
4/5,ナゴヤドーム,C,田中広輔,左,三ゴロ,D,八木智哉,左
4/5,ナゴヤドーム,C,菊池涼介,右,遊ゴロ,D,八木智哉,左
4/5,ナゴヤドーム,C,丸佳浩,左,空三振,D,八木智哉,左
4/5,ナゴヤドーム,C,新井貴浩,右,中安,D,八木智哉,左
4/5,ナゴヤドーム,C,鈴木誠也,右,中飛,D,八木智哉,左
4/5,ナゴヤドーム,C,エルドレッド,右,左本(2),D,八木智哉,左
4/5,ナゴヤドーム,C,小窪哲也,右,空三振,D,八木智哉,左
4/5,ナゴヤドーム,C,會澤翼,右,中飛,D,八木智哉,左
4/5,ナゴヤドーム,C,床田寛樹,左,遊ゴロ,D,八木智哉,左
4/5,ナゴヤドーム,C,田中広輔,左,遊ゴロ,D,八木智哉,左
4/5,ナゴヤドーム,C,菊池涼介,右,左安,D,八木智哉,左
4/5,ナゴヤドーム,C,丸佳浩,左,遊ゴロ,D,八木智哉,左
4/5,ナゴヤドーム,C,新井貴浩,右,投安,D,八木智哉,左
4/5,ナゴヤドーム,C,鈴木誠也,右,左飛,D,又吉克樹,右
4/5,ナゴヤドーム,C,エルドレッド,右,右安,D,又吉克樹,右
4/5,ナゴヤドーム,C,安部友裕,左,二併打,D,又吉克樹,右
4/5,ナゴヤドーム,C,會澤翼,右,左飛,D,又吉克樹,右
4/5,ナゴヤドーム,C,床田寛樹,左,遊ゴロ,D,又吉克樹,右
4/5,ナゴヤドーム,C,田中広輔,左,遊ゴロ,D,又吉克樹,右
4/5,ナゴヤドーム,C,菊池涼介,右,右飛,D,又吉克樹,右
4/5,ナゴヤドーム,C,丸佳浩,左,左飛,D,又吉克樹,右
4/5,ナゴヤドーム,C,新井貴浩,右,空三振,D,又吉克樹,右
4/5,ナゴヤドーム,C,鈴木誠也,右,左安,D,又吉克樹,右
4/5,ナゴヤドーム,C,エルドレッド,右,遊併打,D,又吉克樹,右
4/5,ナゴヤドーム,C,安部友裕,左,三ゴロ,D,又吉克樹,右
4/5,ナゴヤドーム,C,會澤翼,右,空三振,D,又吉克樹,右
4/5,ナゴヤドーム,C,堂林翔太,右,中飛,D,岡田俊哉,左
4/5,ナゴヤドーム,C,田中広輔,左,二ゴロ,D,岡田俊哉,左
4/5,ナゴヤドーム,C,菊池涼介,右,中飛,D,田島慎二,右
4/5,ナゴヤドーム,C,丸佳浩,左,四球,D,田島慎二,右
4/5,ナゴヤドーム,C,新井貴浩,右,四球,D,田島慎二,右
4/5,ナゴヤドーム,C,鈴木誠也,右,左安,D,田島慎二,右
4/5,ナゴヤドーム,C,エルドレッド,右,遊直,D,田島慎二,右
4/5,ナゴヤドーム,C,安部友裕,左,空三振,D,岩瀬仁紀,左
4/5,ナゴヤドーム,C,會澤翼,右,遊ゴロ,D,岩瀬仁紀,左
4/5,ナゴヤドーム,C,下水流昂,右,空三振,D,岩瀬仁紀,左
4/5,ナゴヤドーム,C,田中広輔,左,四球,D,祖父江大輔,右
4/5,ナゴヤドーム,C,菊池涼介,右,二ゴロ,D,祖父江大輔,右
4/5,ナゴヤドーム,C,丸佳浩,左,中飛,D,祖父江大輔,右
4/5,ナゴヤドーム,C,天谷宗一郎,左,空三振,D,祖父江大輔,右
4/5,ナゴヤドーム,C,鈴木誠也,右,死球,D,三ツ間卓也,右
4/5,ナゴヤドーム,C,庄司隼人,左,捕犠打,D,三ツ間卓也,右
4/5,ナゴヤドーム,C,安部友裕,左,右安,D,三ツ間卓也,右
4/5,ナゴヤドーム,C,會澤翼,右,遊併打,D,三ツ間卓也,右
4/6,ナゴヤドーム,C,田中広輔,左,左飛,D,バルデス,左
4/6,ナゴヤドーム,C,菊池涼介,右,右飛,D,バルデス,左
4/6,ナゴヤドーム,C,丸佳浩,左,遊ゴロ,D,バルデス,左
4/6,ナゴヤドーム,C,新井貴浩,右,空三振,D,バルデス,左
4/6,ナゴヤドーム,C,鈴木誠也,右,右飛,D,バルデス,左
4/6,ナゴヤドーム,C,エルドレッド,右,見三振,D,バルデス,左
4/6,ナゴヤドーム,C,小窪哲也,右,左飛,D,バルデス,左
4/6,ナゴヤドーム,C,會澤翼,右,遊ゴロ,D,バルデス,左
4/6,ナゴヤドーム,C,大瀬良大地,右,空三振,D,バルデス,左
4/6,ナゴヤドーム,C,田中広輔,左,左安,D,バルデス,左
4/6,ナゴヤドーム,C,菊池涼介,右,投犠打,D,バルデス,左
4/6,ナゴヤドーム,C,丸佳浩,左,四球,D,バルデス,左
4/6,ナゴヤドーム,C,新井貴浩,右,空三振,D,バルデス,左
4/6,ナゴヤドーム,C,鈴木誠也,右,左２,D,バルデス,左
4/6,ナゴヤドーム,C,エルドレッド,右,左安,D,バルデス,左
4/6,ナゴヤドーム,C,小窪哲也,右,中飛,D,バルデス,左
4/6,ナゴヤドーム,C,會澤翼,右,二飛,D,バルデス,左
4/6,ナゴヤドーム,C,大瀬良大地,右,見三振,D,バルデス,左
4/6,ナゴヤドーム,C,田中広輔,左,左安,D,バルデス,左
4/6,ナゴヤドーム,C,菊池涼介,右,投ゴロ,D,バルデス,左
4/6,ナゴヤドーム,C,丸佳浩,左,三ゴロ,D,バルデス,左
4/6,ナゴヤドーム,C,新井貴浩,右,空三振,D,バルデス,左
4/6,ナゴヤドーム,C,鈴木誠也,右,左安,D,佐藤優,右
4/6,ナゴヤドーム,C,エルドレッド,右,左安,D,佐藤優,右
4/6,ナゴヤドーム,C,小窪哲也,右,二併打,D,佐藤優,右
4/6,ナゴヤドーム,C,會澤翼,右,右飛,D,佐藤優,右
4/6,ナゴヤドーム,C,安部友裕,左,左飛,D,佐藤優,右
4/6,ナゴヤドーム,C,田中広輔,左,二ゴロ,D,佐藤優,右
4/6,ナゴヤドーム,C,菊池涼介,右,中飛,D,佐藤優,右
4/6,ナゴヤドーム,C,丸佳浩,左,四球,D,ジョーダン,左
4/6,ナゴヤドーム,C,新井貴浩,右,遊併打,D,ジョーダン,左
4/6,ナゴヤドーム,C,鈴木誠也,右,左飛,D,ジョーダン,左
4/6,ナゴヤドーム,C,下水流昂,右,遊ゴロ,D,岩瀬仁紀,左
4/6,ナゴヤドーム,C,小窪哲也,右,三直,D,岩瀬仁紀,左
4/6,ナゴヤドーム,C,會澤翼,右,遊ゴロ,D,岩瀬仁紀,左
4/6,ナゴヤドーム,C,堂林翔太,右,三ゴロ,D,三ツ間卓也,右
4/6,ナゴヤドーム,C,田中広輔,左,右安,D,岡田俊哉,左
4/6,ナゴヤドーム,C,菊池涼介,右,右安,D,岡田俊哉,左
4/6,ナゴヤドーム,C,丸佳浩,左,左安,D,岡田俊哉,左
4/6,ナゴヤドーム,C,新井貴浩,右,右犠飛,D,祖父江大輔,右
4/6,ナゴヤドーム,C,鈴木誠也,右,遊ゴロ,D,祖父江大輔,右
4/7,マツダスタジアム,C,田中広輔,左,遊直,Ys,石川雅規,左
4/7,マツダスタジアム,C,菊池涼介,右,右飛,Ys,石川雅規,左
4/7,マツダスタジアム,C,丸佳浩,左,右２,Ys,石川雅規,左
4/7,マツダスタジアム,C,新井貴浩,右,左２,Ys,石川雅規,左
4/7,マツダスタジアム,C,鈴木誠也,右,四球,Ys,石川雅規,左
4/7,マツダスタジアム,C,エルドレッド,右,遊ゴロ,Ys,石川雅規,左
4/7,マツダスタジアム,C,小窪哲也,右,空三振,Ys,石川雅規,左
4/7,マツダスタジアム,C,石原慶幸,右,三ゴロ,Ys,石川雅規,左
4/7,マツダスタジアム,C,加藤拓也,右,四球,Ys,石川雅規,左
4/7,マツダスタジアム,C,田中広輔,左,死球,Ys,石川雅規,左
4/7,マツダスタジアム,C,菊池涼介,右,空三振,Ys,石川雅規,左
4/7,マツダスタジアム,C,丸佳浩,左,二ゴロ,Ys,石川雅規,左
4/7,マツダスタジアム,C,新井貴浩,右,左安,Ys,石川雅規,左
4/7,マツダスタジアム,C,鈴木誠也,右,左安,Ys,石川雅規,左
4/7,マツダスタジアム,C,エルドレッド,右,遊ゴロ,Ys,石川雅規,左
4/7,マツダスタジアム,C,小窪哲也,右,左安,Ys,石川雅規,左
4/7,マツダスタジアム,C,石原慶幸,右,中飛,Ys,石川雅規,左
4/7,マツダスタジアム,C,加藤拓也,右,空三振,Ys,石川雅規,左
4/7,マツダスタジアム,C,田中広輔,左,一ゴロ,Ys,石川雅規,左
4/7,マツダスタジアム,C,菊池涼介,右,三ゴロ,Ys,石川雅規,左
4/7,マツダスタジアム,C,丸佳浩,左,中安,Ys,石川雅規,左
4/7,マツダスタジアム,C,新井貴浩,右,三ゴロ,Ys,石川雅規,左
4/7,マツダスタジアム,C,鈴木誠也,右,三ゴロ,Ys,石川雅規,左
4/7,マツダスタジアム,C,エルドレッド,右,一邪飛,Ys,石川雅規,左
4/7,マツダスタジアム,C,小窪哲也,右,中飛,Ys,石川雅規,左
4/7,マツダスタジアム,C,石原慶幸,右,一邪飛,Ys,石川雅規,左
4/7,マツダスタジアム,C,加藤拓也,右,空三振,Ys,石川雅規,左
4/7,マツダスタジアム,C,田中広輔,左,空三振,Ys,村中恭兵,左
4/7,マツダスタジアム,C,菊池涼介,右,四球,Ys,村中恭兵,左
4/7,マツダスタジアム,C,丸佳浩,左,二併打,Ys,村中恭兵,左
4/7,マツダスタジアム,C,新井貴浩,右,遊直,Ys,土肥寛昌,右
4/7,マツダスタジアム,C,鈴木誠也,右,左安,Ys,土肥寛昌,右
4/7,マツダスタジアム,C,エルドレッド,右,四球,Ys,土肥寛昌,右
4/7,マツダスタジアム,C,小窪哲也,右,中安,Ys,土肥寛昌,右
4/7,マツダスタジアム,C,石原慶幸,右,右犠飛,Ys,土肥寛昌,右
4/7,マツダスタジアム,C,加藤拓也,右,見三振,Ys,土肥寛昌,右
4/8,マツダスタジアム,C,田中広輔,左,一ゴロ,Ys,小川泰弘,右
4/8,マツダスタジアム,C,菊池涼介,右,二直,Ys,小川泰弘,右
4/8,マツダスタジアム,C,丸佳浩,左,二ゴロ,Ys,小川泰弘,右
4/8,マツダスタジアム,C,新井貴浩,右,左安,Ys,小川泰弘,右
4/8,マツダスタジアム,C,鈴木誠也,右,空三振,Ys,小川泰弘,右
4/8,マツダスタジアム,C,エルドレッド,右,四球,Ys,小川泰弘,右
4/8,マツダスタジアム,C,安部友裕,左,二ゴロ,Ys,小川泰弘,右
4/8,マツダスタジアム,C,石原慶幸,右,右安,Ys,小川泰弘,右
4/8,マツダスタジアム,C,岡田明丈,左,空三振,Ys,小川泰弘,右
4/8,マツダスタジアム,C,田中広輔,左,左安,Ys,小川泰弘,右
4/8,マツダスタジアム,C,菊池涼介,右,中飛,Ys,小川泰弘,右
4/8,マツダスタジアム,C,丸佳浩,左,見三振,Ys,小川泰弘,右
4/8,マツダスタジアム,C,新井貴浩,右,遊ゴロ,Ys,小川泰弘,右
4/8,マツダスタジアム,C,鈴木誠也,右,三ゴロ,Ys,小川泰弘,右
4/8,マツダスタジアム,C,エルドレッド,右,左安,Ys,小川泰弘,右
4/8,マツダスタジアム,C,安部友裕,左,二ゴロ,Ys,小川泰弘,右
4/8,マツダスタジアム,C,石原慶幸,右,空三振,Ys,小川泰弘,右
4/8,マツダスタジアム,C,岡田明丈,左,空三振,Ys,小川泰弘,右
4/8,マツダスタジアム,C,田中広輔,左,左安,Ys,小川泰弘,右
4/8,マツダスタジアム,C,菊池涼介,右,四球,Ys,小川泰弘,右
4/8,マツダスタジアム,C,丸佳浩,左,空三振,Ys,小川泰弘,右
4/8,マツダスタジアム,C,新井貴浩,右,右飛,Ys,小川泰弘,右
4/8,マツダスタジアム,C,鈴木誠也,右,空三振,Ys,小川泰弘,右
4/8,マツダスタジアム,C,エルドレッド,右,二飛,Ys,小川泰弘,右
4/8,マツダスタジアム,C,安部友裕,左,右２,Ys,小川泰弘,右
4/8,マツダスタジアム,C,石原慶幸,右,空三振,Ys,小川泰弘,右
4/8,マツダスタジアム,C,岡田明丈,左,空三振,Ys,小川泰弘,右
4/8,マツダスタジアム,C,田中広輔,左,三ゴロ,Ys,小川泰弘,右
4/8,マツダスタジアム,C,菊池涼介,右,中飛,Ys,星知弥,右
4/8,マツダスタジアム,C,丸佳浩,左,空三振,Ys,星知弥,右
4/8,マツダスタジアム,C,新井貴浩,右,二ゴロ,Ys,星知弥,右
4/9,マツダスタジアム,C,田中広輔,左,左安,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,菊池涼介,右,左飛,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,丸佳浩,左,中飛,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,新井貴浩,右,四球,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,鈴木誠也,右,見三振,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,エルドレッド,右,二飛,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,安部友裕,左,空三振,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,會澤翼,右,右飛,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,九里亜蓮,右,見三振,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,田中広輔,左,中３,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,菊池涼介,右,右飛,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,丸佳浩,左,中安,Ys,オーレンドルフ,右
4/9,マツダスタジアム,C,新井貴浩,右,左安,Ys,オーレンドルフ,右
