自TM,相手TM,球場,日付,HA,ナ,先,順,途,交,CB,捕逸,代点,守備,名前,打率,打数,得点,安打,打点,三振,四死,犠打,盗塁,失策,本塁打,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回
巨人,中日,東京ドーム,8/5,0,0,,4,守,,0,0,0,一,中井大介,.231,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,中日,東京ドーム,8/5,0,0,5,5,,,0,0,0,(三),村田修一,.266,4,0,1,0,1,0,0,0,0,0,,遊飛,中安,空三振,,,遊飛,,,,,
巨人,中日,東京ドーム,8/5,0,0,6,6,,,0,0,0,(右),長野久義,.267,4,1,3,1,0,0,0,0,0,1,,右本(1),二併打,,中２,,右安,,,,,
巨人,中日,東京ドーム,8/5,0,0,7,7,,守,0,0,0,(左),石川慎吾,.242,3,1,1,0,1,1,0,0,0,0,,左安,,四球,遊ゴロ,,空三振,,,,,
巨人,中日,東京ドーム,8/5,0,0,,7,守,,0,0,0,左,重信慎之介,.150,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,中日,東京ドーム,8/5,0,0,8,8,,,0,0,0,(捕),小林誠司,.201,4,0,0,0,3,0,0,0,0,0,,見三振,,空三振,一直,,,空三振,,,,
巨人,中日,東京ドーム,8/5,0,0,9,9,,打,0,0,0,(投),菅野智之,.243,2,1,0,0,1,1,0,0,0,0,,,二飛,四球,,見三振,,,,,,
巨人,中日,東京ドーム,8/5,0,0,,9,打,投,0,0,0,打,山本泰寛,.169,1,0,0,0,0,0,0,0,0,0,,,,,,,,二ゴロ,,,,
巨人,中日,東京ドーム,8/5,0,0,,9,投,,0,0,0,投,高木勇人,.200,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,中日,東京ドーム,8/6,0,0,1,1,,,0,0,0,(中),陽岱鋼,.310,4,1,1,0,0,1,0,2,0,0,三ゴロ,,左安,三ゴロ,,遊ゴロ,,,四球,,,
巨人,中日,東京ドーム,8/6,0,0,2,2,,走,0,0,0,(二),マギー,.311,5,0,2,2,1,0,0,0,0,0,中飛,,一ゴロ,中安,,,空三振,,中安,,,
巨人,中日,東京ドーム,8/6,0,0,,2,走,,0,0,0,走,重信慎之介,.150,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,中日,東京ドーム,8/6,0,0,3,3,,,0,0,0,(遊),坂本勇人,.335,4,0,1,0,0,1,0,0,0,0,左安,,四球,三ゴロ,,,三ゴロ,,中飛,,,
巨人,中日,東京ドーム,8/6,0,0,4,4,,,0,0,0,(一),阿部慎之助,.256,4,0,0,0,1,0,0,0,0,0,中飛,,投併打,,空三振,,投ゴロ,,,,,
巨人,中日,東京ドーム,8/6,0,0,5,5,,,0,0,0,(三),村田修一,.266,4,1,1,0,0,0,0,0,0,0,,遊ゴロ,,右安,二ゴロ,,,右飛,,,,
巨人,中日,東京ドーム,8/6,0,0,6,6,,,0,0,0,(右),長野久義,.270,4,1,2,0,0,0,0,0,0,0,,遊ゴロ,,中２,左安,,,左飛,,,,
巨人,中日,東京ドーム,8/6,0,0,7,7,,,0,0,0,(左),亀井善行,.262,4,0,2,0,0,0,0,0,0,0,,右安,,一失,中飛,,,右安,,,,
巨人,中日,東京ドーム,8/6,0,0,8,8,,打,0,0,0,(捕),小林誠司,.204,2,1,1,1,1,0,1,0,0,0,,二安,,投犠野,,空三振,,,,,,
巨人,中日,東京ドーム,8/6,0,0,,8,打,守,0,0,0,打,石川慎吾,.241,1,0,0,0,1,0,0,0,0,0,,,,,,,,空三振,,,,
巨人,中日,東京ドーム,8/6,0,0,,8,守,,0,0,0,捕,相川亮二,.161,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,中日,東京ドーム,8/6,0,0,9,9,,投,0,0,0,(投),大竹寛,.000,1,0,0,0,0,0,1,0,0,0,,二ゴロ,,三犠打,,,,,,,,
巨人,中日,東京ドーム,8/6,0,0,,9,投,投,0,0,0,投,森福允彦,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,中日,東京ドーム,8/6,0,0,,9,投,投,0,0,0,投,西村健太朗,.000,1,0,0,0,1,0,0,0,0,0,,,,,,見三振,,,,,,
巨人,中日,東京ドーム,8/6,0,0,,9,投,打,0,0,0,投,マシソン,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,中日,東京ドーム,8/6,0,0,,9,打,,0,0,0,打,中井大介,.230,1,0,0,0,1,0,0,0,0,0,,,,,,,,,空三振,,,
巨人,阪神,東京ドーム,8/8,0,1,1,1,,,0,0,0,(中),陽岱鋼,.311,3,1,1,0,2,2,0,0,0,0,四球,,四球/空三振,,,左２,,空三振,,,,
巨人,阪神,東京ドーム,8/8,0,1,2,2,,,0,0,0,(二一),マギー,.312,2,1,1,0,0,2,0,0,0,0,一飛,,四球,左安,,四球,,,,,,
巨人,阪神,東京ドーム,8/8,0,1,3,3,,,0,0,0,(遊),坂本勇人,.334,4,0,1,0,0,0,0,0,0,0,左安,,二直,右飛,,三併打,,,,,,
巨人,阪神,東京ドーム,8/8,0,1,4,4,,守,0,0,0,(一),阿部慎之助,.259,4,1,2,1,0,0,0,0,0,0,右安,,右安,二飛,,,一ゴロ,,,,,
巨人,阪神,東京ドーム,8/8,0,1,,4,守,,0,0,0,二,寺内崇幸,.133,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/8,0,1,5,5,,,0,0,0,(三),村田修一,.262,3,1,0,0,1,1,0,0,1,0,二併打,,四球,空三振,,,二飛,,,,,
巨人,阪神,東京ドーム,8/8,0,1,6,6,,,0,0,0,(右),長野久義,.268,3,1,0,1,0,1,0,0,0,0,,一ゴロ,四球,,遊ゴロ,,中飛,,,,,
巨人,阪神,東京ドーム,8/8,0,1,7,7,,守,0,0,0,(左),石川慎吾,.247,3,1,2,3,0,0,0,0,0,1,,右本(1),中安,,二飛,,,,,,,
巨人,阪神,東京ドーム,8/8,0,1,,7,守,,0,0,0,左,橋本到,.235,1,0,0,0,0,0,0,0,0,0,,,,,,,,二ゴロ,,,,
巨人,阪神,東京ドーム,8/8,0,1,8,8,,,0,0,0,(捕),小林誠司,.201,3,0,0,0,0,1,0,0,0,0,,右飛,四球,,遊飛,,,右飛,,,,
巨人,阪神,東京ドーム,8/8,0,1,9,9,,投,0,0,0,(投),マイコラス,.136,3,0,1,1,2,0,0,0,0,0,,空三振,左安,,,空三振,,,,,,
巨人,阪神,東京ドーム,8/8,0,1,,9,投,打,0,0,0,投,西村健太朗,.000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/8,0,1,,9,打,投,0,0,0,打,宇佐見真吾,1.000,1,0,1,0,0,0,0,0,0,0,,,,,,,,中安,,,,
巨人,阪神,東京ドーム,8/8,0,1,,9,投,,0,0,0,投,田原誠次,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/9,0,1,1,1,,,0,0,0,(中),陽岱鋼,.311,3,2,1,0,1,2,0,0,0,0,四球,,,空三振,,二安,四球,,遊ゴロ,,,
巨人,阪神,東京ドーム,8/9,0,1,2,2,,走,0,0,0,(二),マギー,.314,4,0,2,3,0,0,0,0,0,0,二併打,,,一邪飛,,右安,中２,,,,,
巨人,阪神,東京ドーム,8/9,0,1,,2,走,,0,0,0,走二,寺内崇幸,.133,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/9,0,1,3,3,,,0,0,0,(遊),坂本勇人,.332,3,0,0,0,1,1,0,0,0,0,三ゴロ,,,見三振,,右飛,四球,,,,,
巨人,阪神,東京ドーム,8/9,0,1,4,4,,,0,0,0,(一),阿部慎之助,.257,2,0,0,1,1,1,0,0,0,0,,遊ゴロ,,,死球,中犠飛,空三振,,,,,
巨人,阪神,東京ドーム,8/9,0,1,5,5,,,0,0,0,(三),村田修一,.258,4,0,0,0,1,0,0,0,0,0,,見三振,,,遊ゴロ,右飛,,一邪飛,,,,
巨人,阪神,東京ドーム,8/9,0,1,6,6,,投,0,0,0,(左),亀井善行,.257,3,0,0,0,1,1,0,0,0,0,,二ゴロ,,,右飛,,四球,見三振,,,,
巨人,阪神,東京ドーム,8/9,0,1,,6,投,,0,0,0,投,カミネロ,.000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/9,0,1,7,7,,,0,0,0,(右),橋本到,.247,4,1,2,0,1,0,0,0,0,0,,,見三振,,右安,,左安,捕ゴロ,,,,
巨人,阪神,東京ドーム,8/9,0,1,8,8,,打,0,0,0,(捕),小林誠司,.201,1,0,0,0,1,0,0,0,0,0,,,見三振,,,,,,,,,
巨人,阪神,東京ドーム,8/9,0,1,,8,打,,0,0,0,打捕,宇佐見真吾,.500,3,0,1,0,0,0,0,0,0,0,,,,,右安,,捕ゴロ,,左飛,,,
巨人,阪神,東京ドーム,8/9,0,1,9,9,,打,0,0,0,(投),畠世周,.000,1,0,0,0,1,0,0,0,0,0,,,見三振,,,,,,,,,
巨人,阪神,東京ドーム,8/9,0,1,,9,打,投,0,0,0,打,石川慎吾,.246,1,0,0,0,0,0,0,0,0,0,,,,,右飛,,,,,,,
巨人,阪神,東京ドーム,8/9,0,1,,9,投,投,0,0,0,投,田原誠次,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/9,0,1,,9,投,打,0,0,0,投,中川皓太,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/9,0,1,,9,打,投,0,0,0,打,長野久義,.267,1,1,0,0,0,0,0,0,0,0,,,,,,,二ゴロ,,,,,
巨人,阪神,東京ドーム,8/9,0,1,,9,投,守,0,0,0,投,西村健太朗,.000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/9,0,1,,9,守,,0,0,0,左,中井大介,.229,1,0,0,0,0,0,0,0,0,0,,,,,,,,,三ゴロ,,,
巨人,阪神,東京ドーム,8/10,0,1,1,1,,,0,0,0,(中),陽岱鋼,.305,3,1,0,0,1,1,0,0,0,0,空三振,,,一邪飛,,三ゴロ,,四球,,,,
巨人,阪神,東京ドーム,8/10,0,1,2,2,,,0,0,0,(二一),マギー,.317,3,1,2,1,0,0,0,0,0,0,右飛,,,右２,,右犠飛,,右安,,,,
巨人,阪神,東京ドーム,8/10,0,1,3,3,,,1,0,0,(遊),坂本勇人,.329,3,0,0,0,0,1,0,0,0,0,四球,,,三ゴロ,,中飛,,中飛,,,,
巨人,阪神,東京ドーム,8/10,0,1,4,4,,走,0,0,0,(一),阿部慎之助,.258,3,0,1,0,1,0,0,0,0,0,,二直,,見三振,,,投安,,,,,
巨人,阪神,東京ドーム,8/10,0,1,,4,走,投,0,0,0,走,重信慎之介,.150,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/10,0,1,,4,投,打,0,0,0,投,マシソン,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/10,0,1,,4,打,投,0,0,0,打,中井大介,.227,1,0,0,0,1,0,0,0,0,0,,,,,,,,空三振,,,,
巨人,阪神,東京ドーム,8/10,0,1,,4,投,,0,0,0,投,カミネロ,.000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/10,0,1,5,5,,,0,0,0,(三),村田修一,.259,3,1,1,0,1,1,0,0,0,0,,三ゴロ,,,空三振,,中安,四球,,,,
巨人,阪神,東京ドーム,8/10,0,1,6,6,,打,0,0,0,(右),長野久義,.268,2,1,1,1,1,0,0,0,0,1,,空三振,,,左本(1),,,,,,,
巨人,阪神,東京ドーム,8/10,0,1,,6,打,,0,0,0,打二,寺内崇幸,.188,1,0,1,2,0,0,1,0,0,0,,,,,,,捕犠打,左２,,,,
巨人,阪神,東京ドーム,8/10,0,1,7,7,,,0,0,0,(左),亀井善行,.252,3,0,0,0,0,1,0,0,0,0,,,中飛,,二飛,,四球,遊失,,,,
巨人,阪神,東京ドーム,8/10,0,1,8,8,,打,0,0,0,(捕),小林誠司,.199,2,0,0,0,1,0,0,0,0,0,,,見三振,,中飛,,,,,,,
巨人,阪神,東京ドーム,8/10,0,1,,8,打,,0,0,0,打右,橋本到,.241,2,0,0,0,1,0,0,0,0,0,,,,,,,一ゴロ,空三振,,,,
巨人,阪神,東京ドーム,8/10,0,1,9,9,,打,0,0,0,(投),内海哲也,.067,1,0,0,0,1,0,0,0,0,0,,,空三振,,,,,,,,,
巨人,阪神,東京ドーム,8/10,0,1,,9,打,投,0,0,0,打,石川慎吾,.250,1,1,1,0,0,0,0,0,0,0,,,,,,右３,,,,,,
巨人,阪神,東京ドーム,8/10,0,1,,9,投,打,0,0,0,投,西村健太朗,.000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,阪神,東京ドーム,8/10,0,1,,9,打,,0,0,0,打捕,相川亮二,.156,1,0,0,0,0,0,0,0,0,0,,,,,,,中飛,,,,,
巨人,広島,マツダスタジアム,8/11,1,1,1,1,,,0,0,0,(中),陽岱鋼,.314,5,1,3,0,0,1,0,0,0,0,遊ゴロ,,左２,,一邪飛,中安,中安,,四球,,,
巨人,広島,マツダスタジアム,8/11,1,1,2,2,,,0,0,0,(二三),マギー,.320,6,2,3,1,1,0,0,0,0,0,一飛,,右飛,,左安,右安,左安,,見三振,,,
巨人,広島,マツダスタジアム,8/11,1,1,3,3,,,0,0,0,(遊),坂本勇人,.326,3,2,0,0,0,2,0,0,0,0,右飛,,,遊ゴロ,四球,四球,三直,,,,,
巨人,広島,マツダスタジアム,8/11,1,1,4,4,,守,0,0,0,(一),阿部慎之助,.258,4,1,1,3,1,1,0,0,0,0,,左飛,,見三振,左２,四球,一ゴロ,,,,,
巨人,広島,マツダスタジアム,8/11,1,1,,4,守,,0,0,0,一,中井大介,.227,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,広島,マツダスタジアム,8/11,1,1,5,5,,守,0,0,0,(三),村田修一,.268,3,1,3,2,0,0,0,0,0,0,,中安,,中安,右安,左犠飛,,,,,,
巨人,広島,マツダスタジアム,8/11,1,1,,5,守,,0,0,0,二,寺内崇幸,.176,1,0,0,0,0,0,0,0,0,0,,,,,,,,中飛,,,,
巨人,広島,マツダスタジアム,8/11,1,1,6,6,,,0,0,0,(右),長野久義,.274,4,1,3,0,1,1,0,0,0,0,,空三振,,中安,投安,四球,,遊安,,,,
巨人,広島,マツダスタジアム,8/11,1,1,7,7,,打,0,0,0,(左),亀井善行,.252,4,0,1,2,0,0,0,0,0,0,,二ゴロ,,右飛,中２,三ゴロ,,,,,,
巨人,広島,マツダスタジアム,8/11,1,1,,7,打,守,0,0,0,打,相川亮二,.152,1,0,0,0,0,0,0,0,0,0,,,,,,,,一併打,,,,
巨人,広島,マツダスタジアム,8/11,1,1,,7,守,,0,0,0,左,橋本到,.241,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,広島,マツダスタジアム,8/11,1,1,8,8,,,0,0,0,(捕),小林誠司,.197,3,1,0,0,1,2,0,0,0,0,,,中飛,,四球/敬遠,遊ゴロ,,,空三振,,,
巨人,広島,マツダスタジアム,8/11,1,1,9,9,,,0,0,0,(投),田口麗斗,.111,5,0,1,1,2,0,0,0,0,0,,,三直,,捕邪飛/右安,,見三振,,見三振,,,
巨人,広島,マツダスタジアム,8/12,1,1,1,1,,,0,0,0,(中),陽岱鋼,.314,3,0,1,0,0,1,0,0,0,0,四球,,左安,,遊ゴロ,,,遊併打,,,,
巨人,広島,マツダスタジアム,8/12,1,1,2,2,,,0,0,0,(二),マギー,.319,4,0,1,0,2,0,0,0,1,0,見三振,,右安,,一ゴロ,,,見三振,,,,
巨人,広島,マツダスタジアム,8/12,1,1,3,3,,,0,0,0,(遊),坂本勇人,.323,4,0,0,0,2,0,0,0,0,0,空三振,,二ゴロ,,,空三振,,,二飛,,,
巨人,広島,マツダスタジアム,8/12,1,1,4,4,,走,0,0,0,(一),阿部慎之助,.259,3,0,1,0,0,1,0,0,0,0,二ゴロ,,,四球,,投ゴロ,,,左安,,,
巨人,広島,マツダスタジアム,8/12,1,1,,4,走,,0,0,0,走,寺内崇幸,.176,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,広島,マツダスタジアム,8/12,1,1,5,5,,,0,0,0,(三),村田修一,.265,3,0,0,0,1,1,0,0,0,0,,遊ゴロ,,死球,,見三振,,,二併打,,,
巨人,広島,マツダスタジアム,8/12,1,1,6,6,,,0,0,0,(右),長野久義,.272,2,0,0,0,0,1,0,0,0,0,,右飛,,一ゴロ,,,四球,,,,,
巨人,広島,マツダスタジアム,8/12,1,1,7,7,,,0,0,0,(左),亀井善行,.247,3,0,0,0,1,0,0,0,0,0,,中飛,,中飛,,,空三振,,,,,
巨人,広島,マツダスタジアム,8/12,1,1,8,8,,,0,0,0,(捕),小林誠司,.195,3,0,0,0,0,0,0,0,0,0,,,右飛,遊ゴロ,,,遊併打,,,,,
巨人,広島,マツダスタジアム,8/12,1,1,9,9,,打,0,0,0,(投),菅野智之,.231,2,0,0,0,0,0,0,0,0,0,,,遊ゴロ,,三ゴロ,,,,,,,
巨人,広島,マツダスタジアム,8/12,1,1,,9,打,走,0,0,0,打,石川慎吾,.254,1,0,1,0,0,0,0,0,0,0,,,,,,,,左安,,,,
巨人,広島,マツダスタジアム,8/12,1,1,,9,走,投,0,0,0,走,重信慎之介,.150,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,広島,マツダスタジアム,8/12,1,1,,9,投,,0,0,0,投,山口鉄也,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,広島,マツダスタジアム,8/13,1,1,1,1,,,0,0,0,(中),陽岱鋼,.318,4,1,2,0,1,0,0,0,0,0,中３,,見三振,,,右安,,中飛,,,,
巨人,広島,マツダスタジアム,8/13,1,1,2,2,,,0,0,0,(二),マギー,.318,4,0,1,1,1,0,0,0,0,0,空三振,,一直,,,中安,,二併打,,,,
巨人,広島,マツダスタジアム,8/13,1,1,3,3,,,0,0,0,(遊),坂本勇人,.320,4,0,0,0,2,0,0,0,0,0,空三振,,,遊ゴロ,,左飛,,,空三振,,,
巨人,広島,マツダスタジアム,8/13,1,1,4,4,,走,0,0,0,(一),阿部慎之助,.259,3,0,1,0,0,1,0,0,0,0,二ゴロ,,,四球,,二併打,,,右安,,,
巨人,広島,マツダスタジアム,8/13,1,1,,4,走,,0,0,0,走,寺内崇幸,.176,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,広島,マツダスタジアム,8/13,1,1,5,5,,,0,0,0,(三),村田修一,.264,4,0,1,0,1,0,0,0,0,0,,空三振,,中飛,,,左安,,右飛,,,
巨人,広島,マツダスタジアム,8/13,1,1,6,6,,,0,0,0,(左),亀井善行,.241,4,0,0,0,0,0,0,0,0,0,,二ゴロ,,一ゴロ,,,遊飛,,一ゴロ,,,
巨人,広島,マツダスタジアム,8/13,1,1,7,7,,,0,0,0,(右),長野久義,.270,3,0,0,0,1,0,0,0,1,0,,空三振,,,左飛,,一飛,,,,,
巨人,広島,マツダスタジアム,8/13,1,1,8,8,,投,0,0,0,(捕),小林誠司,.194,2,0,0,0,0,0,0,0,0,0,,,中飛,,左飛,,,,,,,
巨人,広島,マツダスタジアム,8/13,1,1,,8,投,打,0,0,0,投,中川皓太,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,広島,マツダスタジアム,8/13,1,1,,8,打,投,0,0,0,打,石川慎吾,.252,1,0,0,0,1,0,0,0,0,0,,,,,,,空三振,,,,,
巨人,広島,マツダスタジアム,8/13,1,1,,8,投,,0,0,0,投,田原誠次,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,広島,マツダスタジアム,8/13,1,1,9,9,,打,0,0,0,(投),今村信貴,1.000,1,0,1,0,0,0,0,0,0,0,,,左安,,,,,,,,,
巨人,広島,マツダスタジアム,8/13,1,1,,9,打,,0,0,0,打捕,宇佐見真吾,.400,1,0,0,0,0,1,0,0,0,0,,,,,二ゴロ,,,四球,,,,
巨人,ヤクルト,神宮,8/16,1,1,1,1,,,0,0,0,(中),陽岱鋼,.317,4,1,1,1,0,1,0,0,0,0,遊ゴロ,,左安,,投直,,四球,遊併打,,,,
巨人,ヤクルト,神宮,8/16,1,1,2,2,,,0,0,0,(二一),マギー,.314,5,0,0,0,2,0,0,0,0,0,空三振,,二直,,,一ゴロ,三ゴロ,,空三振,,,
巨人,ヤクルト,神宮,8/16,1,1,3,3,,,0,0,0,(遊),坂本勇人,.318,5,1,1,1,0,0,0,0,0,1,中飛,,,遊失,,右本(1),三失,,中飛,,,
巨人,ヤクルト,神宮,8/16,1,1,4,4,,走,0,0,0,(一),阿部慎之助,.262,4,1,2,2,1,0,0,0,0,1,,空三振,,中飛,,右本(1),左安,,,,,
巨人,ヤクルト,神宮,8/16,1,1,,4,走,,0,0,0,走二,寺内崇幸,.167,1,0,0,0,1,0,0,0,0,0,,,,,,,,,空三振,,,
巨人,ヤクルト,神宮,8/16,1,1,5,5,,,0,0,0,(三),村田修一,.264,4,0,1,0,1,0,0,0,0,0,,遊ゴロ,,見三振,,左安,遊直,,,,,
巨人,ヤクルト,神宮,8/16,1,1,6,6,,,0,0,0,(左右),亀井善行,.241,4,2,1,1,0,0,0,0,0,1,,右本(1),,三邪飛,,投失,三邪飛,,,,,
巨人,ヤクルト,神宮,8/16,1,1,7,7,,走,0,0,0,(右),長野久義,.270,4,1,1,0,0,0,0,0,0,0,,中飛,,,遊ゴロ,投ゴロ,,中２,,,,
巨人,ヤクルト,神宮,8/16,1,1,,7,走,,0,0,0,走左,重信慎之介,.150,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,ヤクルト,神宮,8/16,1,1,8,8,,,0,0,0,(捕),小林誠司,.199,3,1,2,2,0,1,0,0,0,0,,,右安,,四球,中３,,一ゴロ,,,,
巨人,ヤクルト,神宮,8/16,1,1,9,9,,打,0,0,0,(投),マイコラス,.130,2,0,0,0,2,0,1,0,0,0,,,三犠打,,バ三振,空三振,,,,,,
巨人,ヤクルト,神宮,8/16,1,1,,9,打,投,0,0,1,打,石川慎吾,.251,1,0,0,1,0,0,0,0,0,0,,,,,,,,三失,,,,
巨人,ヤクルト,神宮,8/16,1,1,,9,投,投,0,0,0,投,山口鉄也,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,ヤクルト,神宮,8/16,1,1,,9,投,投,0,0,0,投,西村健太朗,.000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,ヤクルト,神宮,8/16,1,1,,9,投,,0,0,0,投,田原誠次,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,ヤクルト,神宮,8/17,1,1,1,1,,,0,0,0,(中),陽岱鋼,.314,5,1,1,0,0,0,0,0,0,0,遊ゴロ,,右安,,左飛,二ゴロ,,,右飛,,,
巨人,ヤクルト,神宮,8/17,1,1,2,2,,,0,0,0,(二),マギー,.313,4,0,1,1,2,0,0,0,0,0,右安,,中犠飛,,一邪飛,,空三振,,空三振,,,
巨人,ヤクルト,神宮,8/17,1,1,3,3,,,0,0,0,(遊),坂本勇人,.318,3,1,1,0,1,1,0,1,0,0,右邪飛,,右安,,四球,,空三振,,,,,
巨人,ヤクルト,神宮,8/17,1,1,4,4,,,0,0,0,(一),阿部慎之助,.260,3,0,0,0,0,1,0,0,0,0,右飛,,四球,,左飛,,遊ゴロ,,,,,
巨人,ヤクルト,神宮,8/17,1,1,5,5,,,0,0,0,(三),村田修一,.264,4,0,1,2,0,0,0,0,0,0,,二飛,左安,,,右飛,,三ゴロ,,,,
巨人,ヤクルト,神宮,8/17,1,1,6,6,,,0,0,0,(左),亀井善行,.241,4,0,1,0,1,0,0,0,0,0,,左飛,左安,,,二失,,暴振逃,,,,
巨人,ヤクルト,神宮,8/17,1,1,7,7,,,0,0,0,(右),長野久義,.270,3,0,1,0,2,1,0,0,0,0,,見三振,,四球,,左安,,見三振,,,,
巨人,ヤクルト,神宮,8/17,1,1,8,8,,打,0,0,0,(捕),小林誠司,.201,2,1,1,0,0,1,0,0,0,0,,,左安,投併打,,四球,,,,,,
巨人,ヤクルト,神宮,8/17,1,1,,8,打,,0,0,0,打捕,相川亮二,.147,1,0,0,0,1,0,0,0,0,0,,,,,,,,空三振,,,,
巨人,ヤクルト,神宮,8/17,1,1,9,9,,投,0,0,0,(投),内海哲也,.067,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,ヤクルト,神宮,8/17,1,1,,9,投,打,0,0,0,投,宮國椋丞,.000,1,0,0,0,1,0,1,0,0,0,,,投犠打,空三振,,,,,,,,
巨人,ヤクルト,神宮,8/17,1,1,,9,打,投,0,0,0,打,橋本到,.239,1,0,0,0,1,0,0,0,0,0,,,,,,空三振,,,,,,
巨人,ヤクルト,神宮,8/17,1,1,,9,投,投,0,0,0,投,田原誠次,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,ヤクルト,神宮,8/17,1,1,,9,投,打,0,0,0,投,西村健太朗,.000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,ヤクルト,神宮,8/17,1,1,,9,打,,0,0,0,打,石川慎吾,.250,1,0,0,0,1,0,0,0,0,0,,,,,,,,,空三振,,,
巨人,ＤｅＮＡ,東京ドーム,8/18,0,1,1,1,,,0,0,0,(中),陽岱鋼,.311,5,1,1,3,1,0,0,0,0,1,三ゴロ,,遊ゴロ,,遊ゴロ,,右本(3),,空三振,,,
巨人,ＤｅＮＡ,東京ドーム,8/18,0,1,2,2,,,0,0,0,(二),マギー,.314,5,2,2,1,2,0,0,0,0,1,空三振,,,左本(1),,中安,一飛,,空三振,,,
巨人,ＤｅＮＡ,東京ドーム,8/18,0,1,3,3,,,0,0,0,(遊),坂本勇人,.320,4,1,2,2,1,1,0,0,0,1,見三振,,,右飛,,左本(2),左２,,四球,,,
巨人,ＤｅＮＡ,東京ドーム,8/18,0,1,4,4,,,0,0,0,(一),阿部慎之助,.262,5,1,2,0,0,0,0,0,0,0,,遊飛,,右安,,右飛,投安,,二飛,,,
巨人,ＤｅＮＡ,東京ドーム,8/18,0,1,5,5,,,0,0,0,(三),村田修一,.267,5,0,2,0,0,0,0,0,1,0,,中安,,中安,,一ゴロ,三直,,,左飛,,
巨人,ＤｅＮＡ,東京ドーム,8/18,0,1,6,6,,,0,0,0,(右),長野久義,.266,5,0,0,1,1,0,0,0,0,0,,遊併打,,投ゴロ,,中飛,,右飛,,空三振,,
巨人,ＤｅＮＡ,東京ドーム,8/18,0,1,7,7,,投,0,0,0,(左),石川慎吾,.251,3,0,1,0,1,0,0,0,0,0,,,左安,空三振,,,二ゴロ,,,,,
巨人,ＤｅＮＡ,東京ドーム,8/18,0,1,,7,投,打,0,0,0,投,マシソン,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,ＤｅＮＡ,東京ドーム,8/18,0,1,,7,打,投,0,0,0,打,山本泰寛,.169,0,0,0,0,0,1,0,0,0,0,,,,,,,,四球,,,,
巨人,ＤｅＮＡ,東京ドーム,8/18,0,1,,7,投,打,0,0,0,投,カミネロ,.000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
巨人,ＤｅＮＡ,東京ドーム,8/18,0,1,,7,打,,0,0,0,打,中井大介,.231,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,左２,,
