自TM,相手TM,球場,日付,HA,ナ,先,順,途,交,CB,捕逸,代点,守備,名前,打率,打数,得点,安打,打点,三振,四死,犠打,盗塁,失策,本塁打,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回
広島,阪神,マツダスタジアム,4/1,0,0,,7,投,打,0,0,0,投,ジャクソン,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,4/1,0,0,,7,打,投,0,0,0,打,松山竜平,.000,1,0,0,0,0,0,0,0,0,0,,,,,,,,二ゴロ,,,,
広島,阪神,マツダスタジアム,4/1,0,0,,7,投,打,0,0,0,投,中﨑翔太,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,4/1,0,0,,7,打,,0,0,0,打,下水流昂,.000,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,遊失,,
広島,阪神,マツダスタジアム,4/1,0,0,8,8,,打,0,0,0,(捕),石原慶幸,.250,2,0,0,0,0,0,0,0,0,0,三ゴロ,,二ゴロ,,,,,,,,,
広島,阪神,マツダスタジアム,4/1,0,0,,8,打,,0,0,0,打三,安部友裕,.500,1,1,1,1,0,3,0,1,0,0,,,,,,四球,四球,,四球,二安,,
広島,阪神,マツダスタジアム,4/1,0,0,9,9,,打,0,0,0,(投),岡田明丈,.000,1,0,0,0,1,0,0,0,0,0,,見三振,,,,,,,,,,
広島,阪神,マツダスタジアム,4/1,0,0,,9,打,投,0,0,0,打,堂林翔太,.000,1,0,0,0,1,0,0,0,0,0,,,,空三振,,,,,,,,
広島,阪神,マツダスタジアム,4/1,0,0,,9,投,投,0,0,0,投,中田廉,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,4/1,0,0,,9,投,打,0,0,0,投,薮田和樹,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,4/1,0,0,,9,打,,0,0,1,打捕,會澤翼,.500,1,1,1,2,0,1,1,0,0,0,,,,,,中安,四球,,投犠打,,,
広島,阪神,マツダスタジアム,4/2,0,0,1,1,,,1,0,0,(遊),田中広輔,.357,5,2,4,0,0,0,0,0,1,0,左安,,左安,中安,,右安,投ゴロ,,,,,
広島,阪神,マツダスタジアム,4/2,0,0,2,2,,,0,0,0,(二),菊池涼介,.286,5,1,2,1,0,0,0,0,0,0,左２,,二ゴロ,左安,,中飛,一邪飛,,,,,
広島,阪神,マツダスタジアム,4/2,0,0,3,3,,,0,0,0,(中),丸佳浩,.636,5,2,4,1,0,0,0,0,0,0,右安,,右安,遊飛,,,左２,右安,,,,
広島,阪神,マツダスタジアム,4/2,0,0,4,4,,走,0,0,0,(一),新井貴浩,.167,2,0,1,2,0,2,0,0,0,0,四球,,中２,遊ゴロ,,,死球,,,,,
広島,阪神,マツダスタジアム,4/2,0,0,,4,走,,0,0,0,走左,天谷宗一郎,.333,1,1,0,0,0,0,0,0,0,0,,,,,,,,一ゴロ,,,,
広島,阪神,マツダスタジアム,4/2,0,0,5,5,,,0,0,0,(右),鈴木誠也,.333,4,1,1,1,1,1,0,0,0,0,見三振,,右飛,,右飛,,左安,四球,,,,
広島,阪神,マツダスタジアム,4/2,0,0,6,6,,走,0,0,0,(左),エルドレッド,.571,2,0,1,0,0,2,0,0,0,0,遊併打,,四球,,左２,,四球,,,,,
広島,阪神,マツダスタジアム,4/2,0,0,,6,走,投,0,0,0,走,庄司隼人,-,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,4/2,0,0,,6,投,打,0,0,0,投,薮田和樹,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,4/2,0,0,,6,打,投,0,0,0,打,下水流昂,.000,1,0,0,0,0,0,0,0,0,0,,,,,,,,遊ゴロ,,,,
広島,阪神,マツダスタジアム,4/2,0,0,,6,投,,0,0,0,投,ブレイシア,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,4/2,0,0,7,7,,,0,0,0,(三),小窪哲也,.000,5,0,0,0,1,0,0,0,0,0,,中飛,三ゴロ,,右飛,,空三振,右飛,,,,
広島,阪神,マツダスタジアム,4/2,0,0,8,8,,,0,0,0,(捕),會澤翼,.286,3,1,0,1,0,0,0,0,0,0,,遊ゴロ,,三ゴロ,三ゴロ,,犠飛失,,,,,
広島,阪神,マツダスタジアム,4/2,0,0,9,9,,打,0,0,0,(投),九里亜蓮,.500,2,0,1,0,1,0,0,0,0,0,,見三振,,一安,,,,,,,,
広島,阪神,マツダスタジアム,4/2,0,0,,9,打,投,0,0,0,打,安部友裕,.400,1,0,0,0,0,0,0,0,0,0,,,,,,三邪飛,,,,,,
広島,阪神,マツダスタジアム,4/2,0,0,,9,投,打,0,0,0,投,今村猛,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,4/2,0,0,,9,打,,0,0,2,打一,堂林翔太,.500,1,0,1,2,0,0,0,0,1,0,,,,,,,左安,,,,,
広島,中日,ナゴヤドーム,4/4,1,1,1,1,,,1,0,0,(遊),田中広輔,.412,3,1,2,1,0,2,0,0,0,0,左安,左安,,四球,,四球,,三ゴロ,,,,
広島,中日,ナゴヤドーム,4/4,1,1,2,2,,,0,0,0,(二),菊池涼介,.263,5,1,1,1,2,0,0,0,0,0,見三振,空三振,,二ゴロ,,左２,,,中飛,,,
広島,中日,ナゴヤドーム,4/4,1,1,3,3,,,0,0,0,(中),丸佳浩,.533,4,0,1,0,1,1,0,0,0,0,空三振,,中安,,左飛,四球,,,二ゴロ,,,
広島,中日,ナゴヤドーム,4/4,1,1,4,4,,走,0,0,0,(一),新井貴浩,.267,3,1,2,2,0,2,0,0,0,0,,左２,四球,,遊飛,中安,,,四球,,,
広島,中日,ナゴヤドーム,4/4,1,1,,4,走,,0,0,0,走一,堂林翔太,.500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/4,1,1,5,5,,,0,0,0,(右),鈴木誠也,.300,5,0,1,0,1,0,0,0,0,0,,左飛,遊飛,,空三振,,一飛,,左２,,,
広島,中日,ナゴヤドーム,4/4,1,1,6,6,,守,0,0,0,(左),エルドレッド,.455,4,1,1,2,1,0,0,0,0,1,,左本(2),一飛,,,見三振,三ゴロ,,,,,
広島,中日,ナゴヤドーム,4/4,1,1,,6,守,,0,0,0,左,天谷宗一郎,.250,1,0,0,0,0,0,0,0,0,0,,,,,,,,,二ゴロ,,,
広島,中日,ナゴヤドーム,4/4,1,1,7,7,,,0,0,0,(三),安部友裕,.333,4,1,1,0,1,0,0,1,0,0,,左安,空三振,,,中飛,遊ゴロ,,,,,
広島,中日,ナゴヤドーム,4/4,1,1,8,8,,,0,0,0,(捕),石原慶幸,.250,4,1,1,0,1,0,0,0,1,0,,右飛,,三ゴロ,,中２,,空三振,,,,
広島,中日,ナゴヤドーム,4/4,1,1,9,9,,打,0,0,0,(投),野村祐輔,.667,3,1,2,0,1,0,0,0,0,0,,左安,,空三振,,左安,,,,,,
広島,中日,ナゴヤドーム,4/4,1,1,,9,打,投,0,0,0,打,下水流昂,.000,1,0,0,0,0,0,0,0,0,0,,,,,,,,左飛,,,,
広島,中日,ナゴヤドーム,4/4,1,1,,9,投,投,0,0,0,投,飯田哲矢,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/4,1,1,,9,投,,0,0,0,投,中田廉,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/5,1,1,1,1,,,0,0,0,(遊),田中広輔,.333,4,0,0,0,0,1,0,0,0,0,三ゴロ,,遊ゴロ,,遊ゴロ,,,二ゴロ,,,四球,
広島,中日,ナゴヤドーム,4/5,1,1,2,2,,,0,0,0,(二),菊池涼介,.250,5,0,1,0,0,0,0,0,0,0,遊ゴロ,,左安,,,右飛,,,中飛,,二ゴロ,
広島,中日,ナゴヤドーム,4/5,1,1,3,3,,,0,0,0,(中),丸佳浩,.421,4,1,0,0,1,1,0,0,0,0,空三振,,遊ゴロ,,,左飛,,,四球,,中飛,
広島,中日,ナゴヤドーム,4/5,1,1,4,4,,走,0,0,0,(一),新井貴浩,.333,3,1,2,0,1,1,0,0,0,0,,中安,,投安,,空三振,,,四球,,,
広島,中日,ナゴヤドーム,4/5,1,1,,4,走,打,0,0,0,走三,上本崇司,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/5,1,1,,4,打,投,0,0,0,打,天谷宗一郎,.200,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,空三振,
広島,中日,ナゴヤドーム,4/5,1,1,,4,投,投,0,0,0,投,飯田哲矢,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/5,1,1,,4,投,,0,0,0,投,中田廉,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/5,1,1,5,5,,,0,0,0,(右),鈴木誠也,.333,4,0,2,1,0,1,0,0,0,0,,中飛,,左飛,,,左安,,左安,,,死球
広島,中日,ナゴヤドーム,4/5,1,1,6,6,,投,0,0,0,(左),エルドレッド,.467,4,1,2,2,0,0,0,0,0,1,,左本(2),,右安,,,遊併打,,遊直,,,
広島,中日,ナゴヤドーム,4/5,1,1,,6,投,投,0,0,0,投,ジャクソン,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/5,1,1,,6,投,守,0,0,0,投,中﨑翔太,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/5,1,1,,6,守,,0,0,0,三,庄司隼人,-,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,捕犠打
広島,中日,ナゴヤドーム,4/5,1,1,7,7,,打,0,0,0,(三),小窪哲也,.000,1,0,0,0,1,0,0,0,0,0,,空三振,,,,,,,,,,
広島,中日,ナゴヤドーム,4/5,1,1,,7,打,,0,0,0,打三一,安部友裕,.308,4,0,1,0,1,0,0,0,0,0,,,,二併打,,,三ゴロ,,,空三振,,右安
広島,中日,ナゴヤドーム,4/5,1,1,8,8,,,0,0,0,(捕),會澤翼,.167,5,0,0,0,1,0,0,0,0,0,,中飛,,,左飛,,,空三振,,遊ゴロ,,遊併打
広島,中日,ナゴヤドーム,4/5,1,1,9,9,,投,0,0,0,(投),床田寛樹,.000,2,0,0,0,0,0,0,0,0,0,,,遊ゴロ,,遊ゴロ,,,,,,,
広島,中日,ナゴヤドーム,4/5,1,1,,9,投,打,0,0,0,投,今村猛,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/5,1,1,,9,打,打,0,0,0,打,松山竜平,.000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/5,1,1,,9,打,投,0,0,0,打,堂林翔太,.333,1,0,0,0,0,0,0,0,0,0,,,,,,,,中飛,,,,
広島,中日,ナゴヤドーム,4/5,1,1,,9,投,守,0,0,0,投,薮田和樹,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/5,1,1,,9,守,,0,0,0,左,下水流昂,.000,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,空三振,,
広島,中日,ナゴヤドーム,4/6,1,1,1,1,,,1,0,0,(遊),田中広輔,.385,5,2,3,0,0,0,0,0,0,0,左飛,,,左安,左安,,,二ゴロ,,,右安,
広島,中日,ナゴヤドーム,4/6,1,1,2,2,,,0,0,0,(二),菊池涼介,.250,4,1,1,0,0,0,1,0,0,0,右飛,,,投犠打,,投ゴロ,,中飛,,,右安,
広島,中日,ナゴヤドーム,4/6,1,1,3,3,,,0,0,0,(中),丸佳浩,.409,3,1,1,0,0,2,0,0,0,0,遊ゴロ,,,四球,,三ゴロ,,,四球,,左安,
広島,中日,ナゴヤドーム,4/6,1,1,4,4,,投,0,0,0,(一),新井貴浩,.273,4,0,0,1,3,0,0,0,0,0,,空三振,,空三振,,空三振,,,遊併打,,右犠飛,
広島,中日,ナゴヤドーム,4/6,1,1,,4,投,,0,0,0,投,ブレイシア,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/6,1,1,5,5,,,0,0,0,(右),鈴木誠也,.345,5,1,2,2,0,0,0,0,0,0,,右飛,,左２,,,左安,,左飛,,遊ゴロ,
広島,中日,ナゴヤドーム,4/6,1,1,6,6,,走,0,0,0,(左),エルドレッド,.500,3,0,2,1,1,0,0,0,0,0,,見三振,,左安,,,左安,,,,,
広島,中日,ナゴヤドーム,4/6,1,1,,6,走,打,0,0,0,走左,天谷宗一郎,.200,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,中日,ナゴヤドーム,4/6,1,1,,6,打,,0,0,0,打左,下水流昂,.000,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,遊ゴロ,,
