自TM,相手TM,球場,日付,先,完投,完封,無四球,暴投,ボーク,基準,HA,ナ,回,攻撃,援護,分数,勝敗,名前,防御率,回数,打者,投球,安打,被本,三振,四死,失点,自責,T責除
広島,巨人,東京ドーム,4/11,1,0,0,0,0,0,25,1,1,9,6,6,5    ,,野村祐輔,2.25,5,20,77,4,1,1,1,3,2,
広島,巨人,東京ドーム,4/11,,0,0,0,0,0,25,1,1,9,1,0,0    ,,ヘーゲンズ,-,0,5,17,4,0,0,1,3,3,
広島,巨人,東京ドーム,4/11,,0,0,0,0,0,25,1,1,9,2,0,1 2/3,○,中田廉,1.29,1.2,7,31,2,0,3,0,0,0,
広島,巨人,東京ドーム,4/11,,0,0,0,0,0,25,1,1,9,2,0,1 1/3,H,薮田和樹,2.57,1.1,5,27,1,0,2,1,0,0,
広島,巨人,東京ドーム,4/11,,0,0,0,0,0,25,1,1,9,2,0,1    ,S,今村猛,1.93,1,4,17,0,0,2,1,0,0,
広島,巨人,東京ドーム,4/12,1,0,0,0,0,0,27,1,1,9,8,9,7    ,○,床田寛樹,5.40,7,27,97,5,2,8,1,5,5,
広島,巨人,東京ドーム,4/12,,0,0,0,0,0,27,1,1,9,2,0,1    ,,ジャクソン,0.00,1,3,10,0,0,1,0,0,0,
広島,巨人,東京ドーム,4/12,,0,0,0,0,0,27,1,1,9,2,0,1    ,,薮田和樹,2.25,1,4,12,1,0,0,0,0,0,
広島,巨人,東京ドーム,4/13,1,0,0,0,2,0,29,1,1,9,8,4,7    ,,大瀬良大地,2.77,7,29,117,8,1,7,0,5,4,
広島,巨人,東京ドーム,4/13,,0,0,0,0,0,29,1,1,9,2,0,1    ,○,ブレイシア,0.00,1,4,7,1,0,0,0,0,0,
広島,巨人,東京ドーム,4/13,,0,0,0,0,0,29,1,1,9,2,0,1    ,,今村猛,1.59,1,3,11,0,0,2,0,0,0,
広島,阪神,甲子園,4/14,1,0,0,0,0,0,31,1,1,9,7,1,6    ,●,加藤拓也,2.51,6,30,107,5,0,4,8,3,3,
広島,阪神,甲子園,4/14,,0,0,0,0,0,31,1,1,9,2,0,1    ,,中田廉,1.13,1,3,15,0,0,0,0,0,0,
広島,阪神,甲子園,4/14,,0,0,0,0,0,31,1,1,9,2,0,1    ,,ヘーゲンズ,27.00,1,6,26,2,0,1,0,1,0,
広島,阪神,甲子園,4/15,1,1,0,1,0,0,33,1,0,9,9,7,9    ,○,岡田明丈,3.38,9,31,113,4,0,9,0,1,1,
広島,阪神,甲子園,4/16,1,0,0,0,0,0,35,1,0,9,8,1,7 2/3,●,九里亜蓮,2.18,7.2,32,138,4,0,10,5,2,2,
広島,阪神,甲子園,4/16,,0,0,0,0,0,35,1,0,9,1,0,0 1/3,,薮田和樹,2.16,0.1,1,3,0,0,1,0,0,0,
広島,ＤｅＮＡ,マツダスタジアム,4/18,1,0,0,0,0,0,38,0,1,9,6,2,6    ,,野村祐輔,3.00,6,26,102,7,0,6,1,3,3,
広島,ＤｅＮＡ,マツダスタジアム,4/18,,0,0,0,0,0,38,0,1,9,2,0,2    ,,薮田和樹,1.74,2,7,31,1,0,3,0,0,0,
